Building code...
1024+0 records in
1024+0 records out
1048576 bytes (1.0 MB) copied, 0.119636 s, 8.8 MB/s
Starting test runs...
Doing CPUBound 5 times using SCHED_OTHER
wall, user, system, CPU, i-switched, v-switched
0.09 0.26 0.00 286% 98 14
0.07 0.22 0.00 289% 72 14
0.07 0.22 0.00 313% 71 14
0.07 0.22 0.00 301% 82 14
0.07 0.22 0.00 309% 90 14
Doing CPUBound 5 times using SCHED_RR
wall, user, system, CPU, i-switched, v-switched
0.09 0.22 0.00 244% 2 12
0.09 0.21 0.01 246% 3 12
0.09 0.22 0.00 244% 3 13
0.09 0.22 0.00 245% 4 13
0.09 0.22 0.00 247% 3 13
Doing CPUBound 5 times using SCHED_FIFO
wall, user, system, CPU, i-switched, v-switched
0.09 0.22 0.00 244% 3 13
0.09 0.22 0.00 244% 2 12
0.09 0.22 0.00 241% 5 13
0.09 0.22 0.00 247% 4 13
0.09 0.22 0.00 247% 2 12
Doing IOBound 5 times using SCHED_OTHER
wall, user, system, CPU, i-switched, v-switched
0.95 0.00 0.06 7% 45 1946
1.04 0.00 0.06 7% 30 1954
0.99 0.01 0.06 7% 41 1959
0.97 0.00 0.06 7% 40 1970
1.02 0.00 0.07 7% 24 1975
Doing IOBound 5 times using SCHED_RR
wall, user, system, CPU, i-switched, v-switched
1.02 0.00 0.06 7% 18 1981
1.00 0.00 0.05 5% 20 1884
0.97 0.00 0.06 6% 40 1887
1.03 0.00 0.07 7% 22 1967
0.97 0.00 0.07 7% 22 1964
Doing IOBound 5 times using SCHED_FIFO
wall, user, system, CPU, i-switched, v-switched
1.02 0.00 0.06 6% 21 1553
1.04 0.00 0.06 6% 41 1961
1.00 0.00 0.06 6% 32 1967
0.94 0.00 0.06 7% 88 1754
1.05 0.00 0.07 7% 14 1966
Doing Mixed 5 times using SCHED_OTHER
wall, user, system, CPU, i-switched, v-switched
0.12 0.38 0.00 319% 193 13
0.08 0.24 0.00 306% 77 13
0.07 0.21 0.00 306% 76 14
0.07 0.22 0.00 315% 126 14
0.06 0.22 0.00 341% 155 14
Doing Mixed 5 times using SCHED_RR
wall, user, system, CPU, i-switched, v-switched
0.09 0.21 0.00 245% 2 11
0.09 0.21 0.00 245% 2 13
0.08 0.22 0.00 248% 3 12
0.09 0.21 0.00 244% 3 12
0.09 0.22 0.00 245% 3 15
Doing Mixed 5 times using SCHED_FIFO
wall, user, system, CPU, i-switched, v-switched
0.09 0.21 0.00 241% 2 12
0.09 0.22 0.00 246% 4 13
0.09 0.21 0.00 245% 4 12
0.09 0.22 0.00 245% 3 12
0.09 0.21 0.00 245% 2 13
Doing CPUBound 50 times using SCHED_OTHER
wall, user, system, CPU, i-switched, v-switched
0.57 2.23 0.00 392% 1092 103
0.57 2.22 0.01 391% 893 103
0.57 2.23 0.00 390% 762 104
0.57 2.22 0.01 389% 1031 104
0.57 2.23 0.00 390% 781 102
Doing CPUBound 50 times using SCHED_RR
wall, user, system, CPU, i-switched, v-switched
0.58 2.22 0.00 383% 3 58
0.58 2.22 0.00 383% 3 57
0.60 2.22 0.00 366% 7 58
0.58 2.21 0.01 383% 2 57
0.58 2.22 0.00 383% 4 58
Doing CPUBound 50 times using SCHED_FIFO
wall, user, system, CPU, i-switched, v-switched
0.58 2.22 0.00 383% 2 57
0.58 2.22 0.00 383% 3 59
0.58 2.22 0.01 382% 4 58
0.58 2.21 0.02 383% 2 58
0.60 2.22 0.00 368% 7 58
Doing IOBound 50 times using SCHED_OTHER
wall, user, system, CPU, i-switched, v-switched
1.89 0.00 0.22 11% 752 16418
1.91 0.00 0.22 12% 375 16777
1.89 0.00 0.20 10% 444 16823
1.81 0.00 0.21 11% 388 16502
1.88 0.00 0.19 10% 423 17635
Doing IOBound 50 times using SCHED_RR
wall, user, system, CPU, i-switched, v-switched
1.81 0.01 0.18 11% 303 15507
1.93 0.00 0.22 11% 567 16184
1.73 0.00 0.17 10% 411 15286
1.95 0.00 0.20 10% 571 18937
1.84 0.01 0.19 11% 508 16977
Doing IOBound 50 times using SCHED_FIFO
wall, user, system, CPU, i-switched, v-switched
1.87 0.00 0.20 11% 471 16498
1.81 0.00 0.18 10% 319 15399
1.81 0.00 0.21 11% 352 15918
1.84 0.00 0.20 11% 429 17217
1.81 0.00 0.17 10% 451 15811
Doing Mixed 50 times using SCHED_OTHER
wall, user, system, CPU, i-switched, v-switched
0.61 2.34 0.01 385% 1098 103
0.59 2.19 0.00 366% 1002 104
0.58 2.19 0.00 375% 862 104
0.59 2.18 0.01 367% 856 102
0.56 2.18 0.00 386% 857 124
